Age,Attrition,DistanceFromHome,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,Dept_Human Resources,Dept_Research & Development,Dept_Sales,EduField_Human Resources,EduField_Life Sciences,EduField_Marketing,EduField_Medical,EduField_Other,EduField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,Divorced,Married,Single
34,1,6,2,1,3,1,1,2960,0,8,3.0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
53,0,5,3,0,3,5,3,19094,0,26,2.0,14.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
32,1,16,2,0,1,1,1,3919,1,10,3.0,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
42,0,8,3,1,3,2,2,6825,0,10,3.0,9.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
44,0,7,1,0,2,3,4,10248,0,24,3.0,22.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46,0,2,2,0,3,5,1,18947,0,22,2.0,2.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
33,0,2,3,1,3,1,4,2496,0,7,3.0,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
44,0,10,4,1,3,2,4,6465,1,9,4.0,4.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
30,0,9,4,1,2,1,3,2206,0,10,3.0,10.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
24,1,1,2,1,3,1,4,2293,1,6,2.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
43,0,2,4,0,4,1,3,2645,0,6,2.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
50,1,3,1,1,2,1,3,2683,1,3,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,0,2,4,0,3,1,4,2014,0,2,3.0,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
36,0,5,2,0,2,1,1,3419,1,6,4.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
33,0,1,3,0,4,2,1,5376,0,10,3.0,5.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35,0,4,3,1,3,1,4,1951,0,1,3.0,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
27,0,2,4,0,3,1,1,2341,0,1,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26,1,25,1,1,1,1,3,2293,0,1,2.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
27,0,8,4,1,3,3,3,8726,0,9,3.0,9.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,0,1,3,0,3,2,4,4011,0,12,3.0,12.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,1,12,2,0,3,5,3,19545,0,23,3.0,22.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
34,0,23,2,1,3,2,3,4568,0,10,3.0,9.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37,0,19,2,1,3,1,2,3022,0,8,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,0,5,1,1,3,2,4,5772,1,14,3.0,9.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
35,0,8,4,1,4,1,4,2269,0,1,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
48,1,1,1,1,2,3,3,5381,1,23,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28,1,5,3,1,3,1,3,3441,1,2,2.0,2.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
44,0,1,2,0,3,2,1,5454,1,9,2.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
35,0,11,3,1,2,3,1,9884,1,10,3.0,4.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,0,23,3,0,2,2,4,4157,1,5,2.0,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,0,1,1,0,3,3,4,13458,1,15,3.0,15.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
35,0,18,2,1,3,3,1,9069,0,9,2.0,9.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
35,0,23,3,0,3,1,1,4014,1,4,3.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,0,7,4,1,3,2,4,5915,0,10,2.0,7.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
37,0,1,1,1,2,2,3,5993,0,7,4.0,7.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32,0,1,1,1,3,2,4,6162,1,9,3.0,9.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
38,0,29,4,0,3,2,4,2406,0,10,3.0,10.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
50,0,7,2,0,2,5,3,18740,1,29,2.0,27.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
59,0,25,1,0,3,3,1,7637,0,28,2.0,21.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
36,0,8,3,0,3,3,3,10096,0,17,3.0,17.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
55,0,8,4,0,3,4,3,14756,1,21,3.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
36,0,11,2,1,2,2,2,6499,0,6,3.0,6.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,0,7,2,1,3,3,1,9724,0,25,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35,0,1,2,1,3,1,1,2194,0,5,2.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36,1,9,4,1,2,1,3,3388,1,2,2.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59,0,1,1,0,2,2,3,5473,0,20,2.0,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,0,2,3,1,3,1,2,2703,0,6,3.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
31,0,1,3,1,3,1,2,2501,0,1,3.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,0,1,2,1,3,2,2,6220,0,10,3.0,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36,0,6,2,0,4,1,4,3038,0,5,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,0,8,3,0,3,2,4,4424,0,11,3.0,11.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35,0,1,3,1,2,2,1,4312,0,16,3.0,15.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
45,0,6,4,1,3,3,1,13245,1,17,4.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
37,0,7,1,1,3,3,3,13664,0,16,4.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
46,0,5,2,1,3,2,2,5021,1,16,3.0,4.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,0,1,4,1,2,2,4,5126,1,10,2.0,10.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
35,0,1,2,1,2,1,3,2859,0,6,3.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
55,0,1,1,1,3,3,4,10239,0,24,3.0,1.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38,0,6,2,0,1,2,4,5329,1,17,3.0,13.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
34,0,1,1,1,3,2,2,4325,0,5,3.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
56,0,7,4,1,1,3,4,7260,0,37,2.0,6.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,0,2,3,1,3,1,1,2322,0,3,3.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
51,0,9,4,1,3,1,4,2075,0,10,3.0,4.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30,0,2,3,1,2,2,4,4152,0,11,3.0,11.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
46,1,9,3,1,2,3,4,9619,0,9,3.0,9.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
40,0,1,3,1,2,4,2,13503,0,22,2.0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
51,0,21,3,1,3,2,4,5441,1,11,1.0,10.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
30,0,4,3,0,2,2,2,5209,1,11,2.0,11.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
46,0,1,3,1,2,3,1,10673,1,21,2.0,10.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,0,6,2,1,3,2,3,5010,0,12,3.0,11.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
54,0,2,1,0,3,3,3,13549,0,16,1.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
24,0,3,1,0,3,2,3,4999,0,4,2.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
28,0,4,2,1,3,2,3,4221,0,5,4.0,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
58,0,10,4,1,3,4,3,13872,0,38,2.0,37.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
44,0,23,2,1,3,2,2,2042,0,17,4.0,3.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
37,1,6,3,1,3,1,1,2073,1,7,3.0,3.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,0,1,4,1,3,1,1,2956,0,1,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20,1,6,4,0,2,1,4,2926,1,1,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
34,0,6,1,0,3,2,3,4809,0,16,3.0,16.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
37,0,2,3,1,2,2,4,5163,0,17,4.0,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
59,0,2,3,0,2,5,4,18844,0,30,3.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
50,0,1,1,0,3,5,2,18172,1,28,2.0,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25,1,5,3,1,2,2,3,5744,1,6,3.0,6.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,0,7,4,1,2,1,4,2889,0,2,3.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
22,0,15,2,0,3,1,4,2871,0,1,3.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
51,0,1,1,0,2,3,1,7484,0,23,2.0,13.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34,1,7,1,1,1,2,3,6074,1,9,3.0,9.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
54,0,26,4,0,4,4,4,17328,1,23,3.0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,0,18,2,1,3,1,3,2774,0,6,3.0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
34,0,6,3,0,2,2,2,4505,0,12,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
37,0,3,3,1,3,3,4,7428,0,12,3.0,5.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
34,0,5,3,0,2,3,1,11631,0,14,3.0,11.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
36,0,11,2,0,3,3,4,9738,0,10,3.0,9.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
36,0,3,1,0,3,1,4,2835,0,7,3.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43,0,26,3,1,3,4,4,16959,1,25,4.0,25.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30,0,23,1,1,1,1,3,2613,0,10,2.0,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33,0,22,3,1,3,2,2,6146,0,8,4.0,7.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
56,1,14,2,0,3,1,2,4963,1,7,3.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
51,0,6,1,1,3,5,3,19537,0,23,3.0,20.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
31,1,6,2,1,1,2,3,6172,1,12,2.0,7.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
26,0,6,3,0,2,1,2,2368,0,5,2.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
58,1,23,4,0,3,3,4,10312,0,40,2.0,40.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
19,1,22,4,1,3,1,3,1675,1,0,2.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22,0,2,3,1,3,1,4,2523,0,3,3.0,2.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
49,0,20,3,0,3,2,1,6567,0,16,2.0,15.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
43,0,28,2,0,4,1,3,4739,0,18,3.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
50,0,12,3,0,3,3,4,9208,0,16,3.0,2.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
31,1,20,2,0,1,2,3,4559,1,4,3.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
41,0,9,3,1,3,3,3,8189,1,12,3.0,9.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
26,0,25,3,0,3,1,3,2942,0,8,3.0,8.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36,0,6,2,1,3,2,2,4941,0,7,3.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
51,1,8,1,1,1,3,4,10650,0,18,3.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,0,4,4,0,2,2,3,5902,0,17,4.0,15.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
25,0,28,1,1,2,2,3,8639,0,6,3.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30,0,9,3,1,3,2,4,6347,1,12,1.0,11.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
32,1,9,1,0,3,1,1,4200,0,10,4.0,5.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
45,0,29,3,1,3,1,4,3452,0,9,2.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
38,0,3,4,0,3,2,3,4317,1,19,3.0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
30,0,18,1,0,3,1,3,2632,0,5,2.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
32,0,9,4,1,1,2,4,4668,0,9,4.0,8.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
30,0,5,4,0,3,1,1,3204,0,8,3.0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
30,0,2,2,1,2,1,4,2720,0,6,3.0,5.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,0,10,4,1,2,4,1,17181,0,21,2.0,7.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
41,0,9,3,1,3,1,1,2238,0,7,3.0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
19,0,3,2,0,3,1,2,1483,0,1,3.0,1.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
40,0,26,2,0,3,2,2,5605,0,20,3.0,20.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
35,0,1,3,1,3,3,2,7295,0,10,3.0,10.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
53,0,6,2,1,3,2,3,2306,1,13,1.0,7.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
45,0,9,2,1,3,2,2,2348,0,20,1.0,17.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
32,0,8,2,0,3,3,4,8998,0,9,3.0,9.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,0,1,4,1,3,2,3,4319,0,10,3.0,10.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
51,0,7,2,1,2,2,3,6132,0,10,3.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
58,0,9,2,0,2,1,2,3346,1,9,2.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,0,4,3,1,2,3,4,10855,0,15,2.0,12.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
34,0,2,3,0,3,1,3,2231,0,6,3.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
22,0,19,3,1,3,1,4,2323,0,2,3.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,0,9,4,1,3,1,2,2024,0,6,1.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
28,0,21,3,1,3,1,4,2713,0,5,1.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
57,0,24,3,1,4,3,4,9439,1,12,1.0,5.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27,0,3,3,1,2,1,3,2566,1,1,2.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
50,0,11,3,0,3,5,2,19926,0,21,3.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
41,0,14,1,1,3,1,3,2451,0,13,3.0,9.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
30,0,5,2,0,3,3,4,9419,0,12,3.0,10.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38,0,1,1,0,2,2,4,8686,0,12,4.0,8.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32,0,6,3,1,3,1,3,3038,0,8,3.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
27,0,17,3,1,3,1,2,3058,1,6,2.0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
19,1,1,3,0,1,1,1,2325,0,1,4.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
36,0,3,4,1,3,1,2,2088,0,13,2.0,8.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
30,0,9,3,1,3,2,1,3072,0,12,3.0,12.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45,0,4,3,0,3,2,1,5006,1,9,4.0,5.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
56,0,8,3,0,3,1,1,4257,1,19,3.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
33,0,2,3,1,3,1,4,2500,0,4,4.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
19,1,2,2,1,2,1,4,1102,0,1,2.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
46,0,1,2,0,3,3,1,10453,0,24,3.0,24.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
38,0,9,3,0,3,1,4,2288,0,2,3.0,2.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
31,0,12,3,0,3,1,4,3929,1,7,3.0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,0,27,4,0,3,1,2,2311,0,9,3.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
41,1,20,2,0,3,1,2,3140,1,4,2.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
50,0,1,3,1,2,1,3,3690,0,5,2.0,3.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
