Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,No,Travel_Frequently,25,Research & Development,7,5,Human Resources,1,1920,1,Male,82,2,5,Research Scientist,1,Divorced,3218,19329,3,Y,No,8,3,2,80,3,19,3,2,12,6,8,10
32,Yes,Non-Travel,770,Human Resources,5,2,Medical,1,1694,3,Male,66,1,1,Manager,4,Single,-1118,20075,3,Y,No,14,4,4,80,3,6,4,1,18,2,6,-3
39,Yes,Non-Travel,2115,Research & Development,1,4,Life Sciences,1,1236,1,Female,110,2,3,Laboratory Technician,4,Married,1252,16405,4,Y,No,18,4,3,80,1,16,3,4,20,6,5,7
19,Yes,Non-Travel,300,Research & Development,13,4,Human Resources,1,741,4,Female,92,2,2,Research Scientist,3,Married,6847,3613,3,Y,Yes,13,3,1,80,2,4,3,2,9,2,4,7
21,No,Non-Travel,70,Research & Development,7,3,Other,1,1148,1,Female,77,2,5,Sales Executive,4,Divorced,3417,6877,2,Y,No,9,4,2,80,3,26,0,1,19,-2,2,7
31,Yes,Non-Travel,1583,Research & Development,5,5,Marketing,1,958,1,Female,63,3,1,Research Director,3,Single,7420,17550,1,Y,No,14,4,4,80,1,5,4,2,10,-4,5,4
27,No,Non-Travel,1101,Sales,5,1,Technical Degree,1,1598,1,Male,51,1,1,Sales Executive,3,Married,3899,14235,3,Y,No,12,4,3,80,0,4,6,1,9,6,1,7
39,No,Non-Travel,878,Research & Development,20,5,Life Sciences,1,1522,4,Male,85,1,1,Healthcare Representative,3,Single,1521,17443,7,Y,No,17,4,3,80,2,15,5,3,8,3,4,5
28,No,Travel_Frequently,1352,Research & Development,16,2,Human Resources,1,846,1,Female,61,4,4,Manager,3,Married,961,26245,5,Y,No,18,3,4,80,2,11,6,2,4,7,5,1
24,No,Travel_Rarely,466,Human Resources,24,1,Marketing,1,144,2,Female,89,4,1,Laboratory Technician,2,Divorced,13858,19480,4,Y,Yes,11,3,1,80,1,13,0,2,11,5,3,2
50,No,Travel_Rarely,759,Human Resources,13,4,Technical Degree,1,1827,4,Female,74,1,5,Sales Representative,3,Single,10688,23273,5,Y,Yes,12,3,2,80,1,13,0,1,14,5,1,2
34,No,Travel_Frequently,1187,Sales,9,3,Medical,1,1375,1,Male,74,2,3,Research Scientist,4,Single,14650,14987,1,Y,No,17,4,3,80,0,2,3,2,-1,2,3,8
37,No,Travel_Frequently,1654,Human Resources,8,3,Medical,1,832,2,Male,77,2,5,Sales Representative,4,Divorced,9044,8567,1,Y,No,12,3,1,80,0,23,5,1,22,6,0,8
23,No,Travel_Frequently,330,Research & Development,0,4,Other,1,1351,1,Female,47,2,1,Research Scientist,4,Married,4478,13901,0,Y,No,11,3,2,80,0,18,0,4,16,9,0,7
31,No,Travel_Frequently,1319,Human Resources,-1,2,Technical Degree,1,1069,3,Female,45,3,3,Healthcare Representative,4,Married,12733,8585,2,Y,No,10,4,1,80,2,21,5,2,3,-3,4,4
37,Yes,Non-Travel,956,Sales,13,4,Medical,1,1818,1,Female,44,2,2,Sales Representative,2,Single,6347,25404,1,Y,No,16,3,2,80,2,7,4,2,10,3,2,-3
26,Yes,Travel_Rarely,868,Human Resources,1,2,Medical,1,-136,1,Female,87,3,2,Laboratory Technician,1,Divorced,7542,19938,5,Y,No,16,4,2,80,3,14,3,3,6,9,4,7
40,Yes,Non-Travel,799,Human Resources,10,1,Human Resources,1,785,3,Female,46,1,5,Manufacturing Director,1,Single,6301,18017,1,Y,Yes,12,4,1,80,3,12,0,3,9,0,2,6
31,Yes,Travel_Rarely,243,Sales,18,4,Other,1,1987,4,Male,49,2,3,Sales Executive,3,Single,-7370,23110,0,Y,No,15,4,2,80,3,20,5,2,6,4,3,5
34,Yes,Travel_Rarely,1191,Sales,3,2,Marketing,1,1363,3,Female,76,2,5,Laboratory Technician,3,Married,14057,-65,7,Y,No,20,3,3,80,2,20,1,3,10,1,6,5
31,No,Travel_Frequently,486,Research & Development,25,1,Medical,1,2092,4,Male,60,4,3,Human Resources,4,Married,8814,18499,1,Y,Yes,11,3,3,80,0,12,6,2,0,3,1,1
53,No,Non-Travel,366,Human Resources,1,4,Life Sciences,1,289,3,Female,58,1,3,Healthcare Representative,4,Married,8055,4984,3,Y,Yes,8,4,1,80,3,0,0,1,20,-2,0,2
36,No,Travel_Frequently,1159,Research & Development,17,3,Life Sciences,1,1670,1,Female,56,2,5,Research Director,1,Married,6212,14261,3,Y,Yes,16,3,1,80,0,25,0,2,0,7,3,1
27,No,Non-Travel,1120,Human Resources,12,4,Marketing,1,1634,1,Male,18,3,3,Research Scientist,1,Married,7272,12094,0,Y,Yes,14,4,2,80,0,15,0,2,10,4,-6,3
44,No,Travel_Rarely,834,Human Resources,18,5,Technical Degree,1,12,4,Female,46,1,1,Laboratory Technician,4,Divorced,3690,19023,5,Y,No,12,3,2,80,0,6,5,4,2,-1,4,7
25,No,Travel_Frequently,1238,Research & Development,0,4,Other,1,846,4,Male,89,4,3,Sales Representative,3,Single,9405,15937,4,Y,Yes,17,3,1,80,3,14,2,3,6,5,0,5
38,No,Travel_Frequently,1377,Human Resources,27,5,Human Resources,1,960,2,Male,54,1,3,Manufacturing Director,2,Divorced,349,23887,6,Y,Yes,18,3,4,80,3,0,4,3,9,4,7,0
19,Yes,Travel_Rarely,1330,Human Resources,7,1,Life Sciences,1,49,2,Female,27,3,5,Human Resources,2,Single,7378,10028,0,Y,Yes,7,3,1,80,0,19,6,4,7,1,4,10
24,Yes,Travel_Rarely,589,Human Resources,14,4,Life Sciences,1,859,1,Female,45,4,2,Sales Representative,1,Married,9146,19360,2,Y,No,12,3,4,80,3,0,0,1,7,11,5,4
38,Yes,Travel_Rarely,1211,Sales,20,1,Marketing,1,1550,1,Male,73,3,4,Sales Executive,1,Divorced,5567,15467,2,Y,No,23,4,4,80,1,9,1,1,4,6,5,1
43,Yes,Travel_Frequently,887,Research & Development,4,1,Technical Degree,1,789,2,Male,72,1,3,Manufacturing Director,1,Single,8248,2673,3,Y,No,17,3,1,80,3,13,1,1,2,8,0,3
38,No,Non-Travel,1498,Sales,15,2,Technical Degree,1,1170,2,Female,59,4,4,Manager,2,Married,1835,7774,0,Y,Yes,17,3,1,80,0,19,3,4,11,3,1,2
35,No,Travel_Frequently,752,Research & Development,2,1,Marketing,1,1174,4,Male,51,3,3,Manager,2,Married,1955,13246,2,Y,No,19,3,1,80,0,12,2,2,1,-1,-3,4
34,No,Non-Travel,658,Research & Development,20,1,Life Sciences,1,1017,3,Female,37,1,5,Manager,4,Divorced,7617,22230,0,Y,Yes,15,3,4,80,2,16,2,1,3,-4,7,0
23,Yes,Travel_Frequently,554,Human Resources,3,4,Other,1,600,4,Male,73,3,5,Healthcare Representative,3,Divorced,9697,17613,3,Y,Yes,18,3,3,80,2,11,5,1,3,0,-1,5
30,No,Travel_Frequently,878,Research & Development,9,4,Life Sciences,1,1421,2,Female,82,2,3,Laboratory Technician,1,Divorced,-2323,6003,-2,Y,Yes,17,4,3,80,0,11,3,4,4,9,2,7
32,No,Travel_Rarely,990,Sales,11,3,Technical Degree,1,69,1,Male,92,1,5,Research Scientist,4,Married,8960,13314,-1,Y,Yes,17,4,1,80,1,11,6,3,-1,2,6,6
46,No,Non-Travel,998,Sales,15,2,Human Resources,1,1030,2,Male,43,4,5,Laboratory Technician,2,Single,3945,28675,4,Y,No,14,4,1,80,2,9,5,4,-1,8,7,5
40,Yes,Travel_Frequently,943,Sales,25,1,Life Sciences,1,1858,1,Female,93,4,3,Human Resources,4,Single,5595,15104,1,Y,No,15,3,2,80,0,-1,3,3,10,0,1,6
20,No,Travel_Frequently,1073,Research & Development,5,2,Other,1,755,1,Male,64,2,2,Laboratory Technician,2,Divorced,196,11983,0,Y,No,13,3,2,80,2,5,4,1,10,1,-3,5
39,Yes,Travel_Rarely,712,Sales,18,5,Medical,1,587,1,Male,66,3,3,Laboratory Technician,3,Single,2493,17813,5,Y,No,15,4,2,80,2,13,2,1,8,2,2,7
33,Yes,Travel_Rarely,450,Research & Development,25,1,Life Sciences,1,1461,1,Male,84,3,2,Sales Executive,2,Married,11051,19746,3,Y,Yes,10,4,1,80,0,9,6,2,15,5,3,3
30,Yes,Non-Travel,415,Sales,10,2,Marketing,1,1123,3,Male,54,4,5,Research Scientist,4,Single,6657,11066,4,Y,Yes,12,4,3,80,3,10,4,2,1,0,3,0
42,Yes,Travel_Frequently,1195,Sales,4,3,Medical,1,1473,2,Male,21,3,2,Laboratory Technician,3,Married,4700,17890,2,Y,Yes,14,4,3,80,1,8,6,3,-3,1,1,5
46,No,Non-Travel,992,Research & Development,-4,3,Marketing,1,1048,4,Male,80,1,5,Research Scientist,2,Divorced,5954,11972,9,Y,Yes,11,3,1,80,3,4,5,1,11,3,1,7
45,Yes,Travel_Frequently,53,Sales,24,1,Marketing,1,-412,1,Male,72,1,2,Research Director,1,Single,8806,19433,1,Y,Yes,13,4,1,80,0,7,3,1,-3,0,0,2
29,Yes,Non-Travel,1245,Human Resources,7,5,Marketing,1,1735,1,Female,58,4,2,Manager,2,Married,8576,15520,7,Y,No,14,3,4,80,0,8,2,4,6,-2,2,9
34,No,Travel_Rarely,1561,Research & Development,1,3,Life Sciences,1,2271,4,Male,78,1,3,Sales Representative,3,Divorced,6149,17743,2,Y,No,16,4,4,80,1,11,2,1,8,4,4,5
39,No,Travel_Frequently,513,Research & Development,-1,3,Technical Degree,1,1797,4,Male,82,4,2,Sales Executive,4,Divorced,11648,8909,-1,Y,Yes,18,3,3,80,0,14,6,1,19,0,3,7
45,Yes,Non-Travel,938,Research & Development,1,5,Medical,1,-1105,1,Female,35,3,5,Manager,3,Divorced,11071,8467,3,Y,Yes,13,3,2,80,2,9,6,4,3,8,2,0
32,No,Travel_Rarely,611,Human Resources,16,2,Other,1,1296,4,Male,66,3,3,Research Scientist,4,Divorced,8449,21042,3,Y,No,20,3,3,80,1,3,6,4,4,8,5,6
35,Yes,Travel_Rarely,1056,Research & Development,17,3,Technical Degree,1,743,4,Male,19,3,2,Manager,2,Single,6760,13747,0,Y,No,18,4,4,80,3,0,0,1,11,2,3,5
26,Yes,Non-Travel,331,Sales,14,4,Life Sciences,1,372,3,Female,63,2,3,Laboratory Technician,2,Married,9597,16341,0,Y,Yes,17,3,3,80,1,31,5,2,10,6,2,11
25,Yes,Travel_Frequently,773,Sales,10,3,Marketing,1,1098,4,Male,58,4,4,Sales Representative,3,Single,7982,12132,2,Y,No,15,3,4,80,3,2,0,2,4,4,2,5
44,Yes,Travel_Frequently,1198,Sales,0,2,Other,1,935,2,Male,75,1,3,Laboratory Technician,1,Married,11497,20710,3,Y,No,16,4,4,80,0,7,6,1,8,8,-1,6
49,No,Travel_Rarely,1301,Research & Development,3,2,Medical,1,1331,2,Female,44,3,4,Human Resources,2,Divorced,10738,9986,-3,Y,Yes,19,4,2,80,3,15,6,2,2,2,-1,1
36,Yes,Travel_Frequently,974,Sales,0,1,Technical Degree,1,1058,2,Female,57,2,4,Laboratory Technician,1,Single,1709,13347,5,Y,Yes,19,4,2,80,3,14,2,4,9,6,1,5
46,No,Travel_Frequently,665,Research & Development,13,4,Human Resources,1,350,1,Male,0,1,3,Sales Representative,1,Divorced,1390,19907,1,Y,No,20,4,4,80,3,15,5,2,-2,5,0,8
40,No,Travel_Frequently,159,Sales,0,2,Technical Degree,1,677,2,Male,77,1,5,Manufacturing Director,3,Married,3201,22662,0,Y,No,15,4,1,80,1,7,5,1,24,5,2,2
31,No,Travel_Rarely,496,Human Resources,3,5,Other,1,580,3,Female,64,1,5,Research Director,2,Divorced,11098,10585,5,Y,Yes,17,4,2,80,2,13,4,2,11,1,4,1
40,No,Non-Travel,613,Human Resources,7,4,Life Sciences,1,-8,2,Male,67,3,5,Research Scientist,1,Single,-918,28261,2,Y,No,20,3,4,80,3,11,1,1,0,8,4,11
50,Yes,Travel_Frequently,520,Human Resources,-4,4,Medical,1,199,1,Female,35,1,1,Research Director,2,Single,8361,16542,5,Y,No,12,3,1,80,1,8,3,2,5,2,3,3
36,No,Travel_Rarely,826,Human Resources,9,5,Other,1,897,3,Female,73,4,4,Human Resources,4,Married,8209,6889,3,Y,No,14,4,1,80,1,13,1,1,0,2,4,7
51,Yes,Travel_Rarely,664,Research & Development,8,3,Marketing,1,1881,2,Female,99,2,3,Research Director,1,Married,11976,16939,2,Y,Yes,15,4,3,80,2,19,1,1,1,1,5,2
12,No,Non-Travel,871,Sales,18,5,Medical,1,702,3,Male,62,1,5,Manager,3,Single,7351,11586,2,Y,No,18,3,3,80,1,11,6,2,8,1,5,2
44,No,Travel_Frequently,1287,Human Resources,2,5,Technical Degree,1,568,3,Female,79,1,5,Sales Executive,3,Single,179,17402,3,Y,No,18,3,2,80,0,11,2,2,15,3,5,3
37,Yes,Travel_Frequently,638,Research & Development,-1,3,Other,1,313,1,Female,48,4,3,Sales Representative,1,Single,1986,14008,1,Y,Yes,14,3,1,80,0,19,4,4,6,5,-1,6
34,Yes,Non-Travel,244,Human Resources,6,3,Technical Degree,1,1043,1,Female,64,1,4,Sales Executive,2,Single,938,14841,0,Y,Yes,9,4,2,80,0,18,3,3,-4,7,-3,8
37,Yes,Non-Travel,519,Human Resources,0,3,Technical Degree,1,1734,3,Male,34,3,3,Sales Representative,4,Married,3970,7824,4,Y,No,16,3,4,80,2,23,6,1,3,4,0,2
18,No,Travel_Rarely,1037,Research & Development,9,3,Technical Degree,1,2230,2,Male,81,3,1,Research Scientist,4,Single,5641,21360,2,Y,Yes,11,3,2,80,1,-2,6,1,3,9,0,8
34,No,Travel_Rarely,1076,Research & Development,-5,3,Life Sciences,1,1196,1,Male,69,3,1,Research Director,3,Married,1016,6084,2,Y,Yes,9,4,1,80,0,18,1,1,7,4,5,4
40,Yes,Non-Travel,966,Sales,4,5,Technical Degree,1,1109,3,Female,41,1,3,Research Scientist,3,Single,13426,6421,5,Y,No,10,4,3,80,3,15,1,1,6,-2,1,3
50,Yes,Travel_Frequently,1327,Sales,1,1,Marketing,1,697,4,Male,49,2,4,Laboratory Technician,2,Single,263,16927,2,Y,Yes,16,4,2,80,1,4,5,2,-6,0,0,6
32,Yes,Travel_Rarely,727,Human Resources,13,1,Marketing,1,798,4,Male,67,2,5,Laboratory Technician,3,Divorced,12840,25721,2,Y,No,20,3,3,80,0,13,2,2,1,6,2,9
29,Yes,Travel_Rarely,1630,Human Resources,2,2,Medical,1,1403,1,Female,84,1,1,Sales Executive,2,Divorced,12082,11803,1,Y,No,15,4,2,80,1,19,1,3,0,3,3,5
32,No,Travel_Frequently,1132,Sales,-4,1,Human Resources,1,835,2,Female,95,2,1,Healthcare Representative,1,Single,10732,19302,3,Y,Yes,15,3,4,80,0,4,3,1,12,2,4,1
45,Yes,Travel_Rarely,-215,Sales,7,1,Technical Degree,1,927,4,Male,63,2,4,Healthcare Representative,4,Married,3236,21952,3,Y,No,19,3,1,80,3,14,0,3,5,0,0,4
39,Yes,Travel_Frequently,1529,Research & Development,11,5,Technical Degree,1,1009,4,Male,38,1,1,Healthcare Representative,1,Single,8115,20111,4,Y,No,9,4,2,80,1,18,6,4,-5,2,0,6
32,Yes,Travel_Frequently,492,Sales,6,3,Other,1,669,4,Female,70,3,1,Human Resources,3,Divorced,489,12097,1,Y,No,17,3,4,80,0,2,0,3,1,2,0,2
41,Yes,Travel_Frequently,385,Sales,4,3,Life Sciences,1,979,2,Male,102,1,4,Manager,4,Single,10791,6547,1,Y,No,15,4,4,80,0,10,2,3,14,6,2,5
37,No,Non-Travel,1013,Human Resources,3,5,Human Resources,1,-190,2,Female,32,3,3,Manager,4,Divorced,6154,-1399,4,Y,No,17,4,4,80,3,13,0,4,3,3,-1,1
45,Yes,Non-Travel,101,Sales,10,1,Medical,1,1355,1,Female,46,3,5,Laboratory Technician,1,Single,4575,12442,3,Y,Yes,13,4,3,80,3,5,5,4,2,8,5,6
30,No,Non-Travel,521,Human Resources,1,5,Human Resources,1,2440,1,Male,78,2,5,Healthcare Representative,2,Single,741,22698,0,Y,Yes,12,4,3,80,0,4,5,3,5,1,-1,9
33,Yes,Travel_Frequently,1430,Sales,6,2,Technical Degree,1,692,4,Male,69,2,1,Sales Representative,4,Married,-5161,6311,5,Y,No,15,3,4,80,0,10,3,4,8,4,-2,3
33,Yes,Travel_Frequently,1026,Research & Development,15,3,Other,1,1249,2,Male,54,3,5,Laboratory Technician,2,Divorced,1613,19297,-1,Y,No,21,4,4,80,2,17,4,3,6,-1,2,6
23,No,Non-Travel,1130,Sales,-1,4,Life Sciences,1,1537,3,Male,70,3,3,Research Scientist,1,Divorced,11741,7550,4,Y,Yes,18,3,2,80,2,16,2,2,13,6,1,7
39,Yes,Travel_Rarely,537,Sales,8,2,Medical,1,1795,4,Female,85,2,1,Healthcare Representative,1,Divorced,4606,15068,0,Y,No,13,3,2,80,1,4,2,2,6,0,3,2
39,No,Travel_Frequently,181,Sales,-5,2,Human Resources,1,865,1,Male,63,4,5,Laboratory Technician,2,Married,5705,19351,7,Y,No,10,4,1,80,1,16,6,3,11,6,0,5
36,No,Travel_Rarely,1087,Human Resources,11,5,Medical,1,-60,2,Male,62,3,2,Healthcare Representative,1,Single,9589,9618,-1,Y,No,9,3,2,80,2,4,0,4,8,-2,3,8
34,Yes,Travel_Rarely,1177,Research & Development,1,1,Technical Degree,1,1185,1,Male,77,3,2,Human Resources,4,Married,15003,15526,5,Y,Yes,20,4,1,80,0,-1,1,4,0,0,5,9
23,No,Travel_Frequently,1159,Sales,17,3,Medical,1,1102,1,Female,60,3,2,Sales Executive,1,Single,12740,11358,2,Y,No,11,4,1,80,3,8,1,2,17,7,0,3
33,No,Travel_Frequently,886,Human Resources,-2,4,Other,1,816,2,Male,89,2,2,Manufacturing Director,1,Married,1925,19332,1,Y,Yes,14,4,1,80,1,20,4,2,14,9,3,0
33,No,Travel_Rarely,412,Research & Development,12,2,Medical,1,944,4,Male,107,1,2,Healthcare Representative,4,Married,-2642,15988,3,Y,No,20,3,3,80,0,16,6,4,3,-5,7,6
29,No,Travel_Rarely,1786,Human Resources,19,4,Marketing,1,1111,2,Female,47,3,1,Research Scientist,2,Divorced,17611,14715,4,Y,No,9,4,2,80,3,11,1,4,6,0,4,4
35,No,Non-Travel,996,Human Resources,0,1,Other,1,1242,4,Female,40,3,4,Research Scientist,1,Married,17185,25405,0,Y,Yes,20,4,4,80,3,8,4,4,10,10,0,4
40,No,Non-Travel,732,Research & Development,2,1,Human Resources,1,1217,1,Female,73,3,4,Sales Executive,2,Single,7390,19027,0,Y,Yes,14,3,1,80,0,8,6,4,8,4,3,2
54,No,Travel_Frequently,734,Sales,1,4,Life Sciences,1,893,2,Female,39,1,1,Research Director,4,Married,521,9399,4,Y,No,11,4,4,80,0,12,3,3,7,0,-2,7
38,No,Non-Travel,862,Human Resources,5,3,Life Sciences,1,1256,3,Female,39,1,1,Research Scientist,2,Married,11037,13701,-1,Y,No,14,4,1,80,1,2,2,4,10,9,-1,2
39,Yes,Non-Travel,1234,Human Resources,13,1,Technical Degree,1,853,4,Male,24,3,3,Laboratory Technician,2,Single,5994,13772,1,Y,No,12,4,2,80,2,8,0,2,9,6,6,1
36,Yes,Non-Travel,879,Sales,4,4,Technical Degree,1,1411,3,Female,58,3,4,Research Scientist,3,Divorced,5971,14884,10,Y,Yes,16,4,1,80,0,9,3,2,9,4,3,3
19,No,Non-Travel,1148,Sales,0,2,Marketing,1,647,4,Female,65,4,2,Manufacturing Director,3,Single,10714,32282,0,Y,No,12,4,2,80,2,0,5,1,7,-2,7,7
36,Yes,Travel_Rarely,863,Research & Development,-7,4,Human Resources,1,1068,2,Female,55,1,1,Sales Executive,1,Single,8077,16952,5,Y,Yes,8,4,4,80,1,4,5,4,10,11,3,0
37,No,Travel_Frequently,757,Research & Development,22,4,Life Sciences,1,47,3,Female,94,4,2,Laboratory Technician,3,Single,920,-178,1,Y,No,14,3,2,80,2,14,5,3,8,5,0,0
59,No,Non-Travel,1061,Research & Development,22,5,Life Sciences,1,802,2,Female,92,3,4,Healthcare Representative,3,Married,4974,10449,3,Y,No,10,4,4,80,2,11,4,1,8,3,2,1
35,Yes,Travel_Rarely,1045,Sales,13,1,Life Sciences,1,1366,4,Female,105,3,5,Sales Executive,3,Married,9615,558,4,Y,No,15,4,2,80,3,8,4,1,15,9,3,11
39,No,Travel_Rarely,734,Human Resources,2,3,Life Sciences,1,402,4,Female,66,3,5,Manufacturing Director,2,Single,8905,11965,5,Y,No,10,4,1,80,1,4,6,3,9,0,9,5
36,No,Travel_Rarely,500,Human Resources,15,3,Medical,1,832,4,Female,89,3,1,Manager,2,Single,7736,167,2,Y,No,13,4,1,80,0,23,2,1,9,0,4,0
26,No,Non-Travel,940,Research & Development,16,5,Human Resources,1,-423,4,Male,72,2,3,Manufacturing Director,3,Divorced,10897,8109,7,Y,No,15,3,2,80,2,4,5,1,1,0,0,3
47,No,Non-Travel,834,Sales,7,3,Other,1,201,1,Male,70,2,2,Sales Representative,4,Married,4799,3488,1,Y,No,14,4,4,80,1,13,4,2,1,2,1,6
43,Yes,Travel_Frequently,578,Human Resources,9,4,Other,1,358,4,Male,56,2,1,Sales Representative,3,Married,7344,17047,3,Y,Yes,16,3,4,80,3,7,6,1,14,4,3,11
44,No,Non-Travel,462,Research & Development,19,5,Marketing,1,1086,3,Female,19,4,3,Manager,4,Married,-9389,14316,3,Y,No,17,4,4,80,3,11,4,3,10,6,-1,-1
28,No,Non-Travel,968,Human Resources,-4,2,Medical,1,1225,4,Female,78,1,2,Human Resources,2,Married,4385,16469,0,Y,No,10,4,2,80,2,14,1,4,12,0,2,0
49,No,Travel_Rarely,1024,Human Resources,17,1,Life Sciences,1,991,2,Female,89,3,4,Research Scientist,4,Single,10099,13568,1,Y,No,14,3,2,80,2,0,4,4,8,5,1,2
24,Yes,Travel_Frequently,657,Sales,6,1,Life Sciences,1,794,1,Male,34,1,5,Research Director,2,Single,4664,4388,3,Y,No,3,3,2,80,0,11,5,4,9,2,3,3
42,No,Non-Travel,568,Sales,0,1,Technical Degree,1,796,3,Female,65,2,3,Research Director,4,Divorced,4307,17968,1,Y,Yes,16,4,2,80,1,20,3,2,6,3,1,2
56,Yes,Non-Travel,467,Human Resources,0,4,Technical Degree,1,1455,1,Female,86,3,2,Manufacturing Director,2,Married,1599,27995,8,Y,Yes,14,4,4,80,0,24,5,2,6,8,-2,3
27,Yes,Travel_Rarely,956,Research & Development,2,2,Marketing,1,1152,1,Female,58,3,1,Manager,2,Married,11226,17225,0,Y,No,11,4,4,80,0,10,6,2,4,6,2,11
31,No,Travel_Rarely,478,Sales,0,5,Life Sciences,1,823,1,Male,90,4,2,Manager,3,Single,9085,11281,5,Y,No,16,4,3,80,3,11,6,3,15,6,4,0
37,No,Non-Travel,1706,Human Resources,23,5,Marketing,1,1803,2,Male,63,1,1,Healthcare Representative,1,Divorced,10388,4148,4,Y,Yes,19,4,2,80,1,28,6,4,2,1,6,4
32,Yes,Travel_Frequently,636,Sales,13,1,Medical,1,2198,1,Female,55,4,5,Sales Executive,1,Single,-1624,7849,2,Y,Yes,13,4,3,80,0,20,1,3,8,11,5,6
22,No,Travel_Frequently,-176,Sales,17,2,Other,1,274,1,Male,91,2,5,Laboratory Technician,2,Married,5747,17537,0,Y,Yes,11,3,2,80,3,6,5,3,6,6,-2,-1
37,Yes,Travel_Rarely,790,Sales,13,2,Life Sciences,1,1339,4,Female,46,1,2,Sales Representative,3,Married,5184,21951,0,Y,No,15,4,3,80,2,6,0,1,12,2,-2,9
27,Yes,Travel_Rarely,773,Human Resources,9,2,Human Resources,1,2885,2,Female,51,2,2,Research Director,1,Divorced,5182,16169,1,Y,Yes,10,4,4,80,0,18,1,4,8,8,-1,3
41,No,Non-Travel,1251,Research & Development,9,3,Medical,1,1193,3,Male,47,4,1,Research Scientist,1,Single,3602,20006,-1,Y,Yes,12,4,4,80,2,3,2,1,9,6,7,0
28,No,Travel_Rarely,918,Research & Development,5,3,Life Sciences,1,1094,3,Male,42,4,1,Laboratory Technician,3,Married,4873,19350,0,Y,No,19,3,3,80,1,19,5,2,8,0,3,9
51,Yes,Non-Travel,466,Research & Development,6,1,Human Resources,1,991,3,Male,69,3,3,Manufacturing Director,3,Married,10503,17918,-1,Y,No,15,3,1,80,0,13,4,2,0,4,10,6
29,Yes,Travel_Frequently,686,Sales,-2,2,Technical Degree,1,1319,2,Male,55,1,3,Healthcare Representative,1,Divorced,-2502,9626,6,Y,No,8,3,2,80,2,15,3,3,10,0,6,2
33,Yes,Travel_Frequently,934,Human Resources,17,2,Marketing,1,1479,3,Female,75,1,3,Laboratory Technician,1,Married,14870,15551,4,Y,Yes,8,4,3,80,2,9,5,3,6,-3,2,6
