Sum of Age,Attrition,BusinessTravel,Sum of DailyRate,Department,Sum of DistanceFromHome,Sum of Education,EducationField,Sum of EmployeeCount,EmployeeNumber,Sum of EnvironmentSatisfaction,Gender,Sum of HourlyRate,Sum of JobInvolvement,Sum of JobLevel,JobRole,Sum of JobSatisfaction,MaritalStatus,Sum of MonthlyIncome,Sum of MonthlyRate,Sum of NumCompaniesWorked,Over18,OverTime,Sum of PercentSalaryHike,Sum of PerformanceRating,Sum of RelationshipSatisfaction,Sum of StandardHours,Sum of StockOptionLevel,Sum of TotalWorkingYears,Sum of TrainingTimesLastYear,Sum of WorkLifeBalance,Sum of YearsAtCompany,Sum of YearsInCurrentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager
70,No,Non-Travel,2998,Research & Development,2,6,Life Sciences,2,156,4,Male,74,6,4,Sales Representative,6,Married,7174,39270,2,Y,Yes,26,6,4,160,0,16,6,4,0,8,2,0
60,No,Non-Travel,2092,Research & Development,26,4,Life Sciences,2,277,4,Female,112,4,4,Sales Executive,8,Married,7526,25088,0,Y,No,34,6,6,160,0,0,4,4,18,10,6,0
46,No,Non-Travel,2656,Research & Development,28,6,Life Sciences,2,326,4,Female,122,6,4,Sales Executive,4,Single,24954,39002,8,Y,No,38,6,4,160,2,0,0,6,0,8,0,0
66,No,Non-Travel,1810,Research & Development,2,6,Life Sciences,2,396,4,Male,138,4,4,Sales Representative,2,Married,10040,29742,8,Y,Yes,22,6,6,160,2,12,6,6,10,8,0,6
70,No,Non-Travel,1880,Research & Development,14,6,Life Sciences,2,444,6,Female,90,4,4,Research Scientist,2,Divorced,14806,53256,0,Y,No,22,6,6,160,0,4,2,4,30,0,2,8
74,No,Non-Travel,920,Research & Development,16,8,Life Sciences,2,478,6,Female,100,4,2,Research Scientist,2,Married,12146,30340,2,Y,Yes,32,6,6,160,4,18,2,4,8,2,0,6
68,No,Non-Travel,2496,Research & Development,28,4,Life Sciences,2,495,6,Female,132,4,6,Research Scientist,4,Married,2018,24898,4,Y,No,22,6,8,160,0,0,8,4,2,12,4,18
72,No,Non-Travel,1114,Research & Development,10,4,Life Sciences,2,546,4,Male,178,6,8,Laboratory Technician,8,Single,7710,36604,2,Y,No,28,6,6,160,2,50,6,4,12,2,10,2
106,No,Non-Travel,1268,Research & Development,38,2,Life Sciences,2,553,6,Male,132,4,2,Sales Executive,2,Married,17346,35508,0,Y,No,22,6,4,160,0,50,4,2,0,0,0,10
36,No,Non-Travel,1078,Research & Development,2,4,Life Sciences,2,704,6,Female,124,2,2,Human Resources,8,Married,16846,25612,6,Y,No,24,6,6,160,0,0,6,6,0,6,0,10
56,No,Non-Travel,2400,Research & Development,2,4,Life Sciences,2,745,8,Male,118,4,4,Manager,2,Married,11440,36192,8,Y,No,22,6,4,160,0,16,6,6,18,0,18,14
94,No,Non-Travel,582,Research & Development,28,8,Life Sciences,2,809,8,Male,118,6,4,Sales Executive,6,Single,30256,4188,6,Y,No,26,6,4,160,0,42,6,2,24,2,0,16
54,No,Non-Travel,1140,Research & Development,20,8,Life Sciences,2,824,2,Male,148,8,2,Laboratory Technician,4,Married,8006,14940,0,Y,Yes,22,6,2,160,2,32,6,6,12,2,4,14
78,No,Non-Travel,1586,Research & Development,2,8,Life Sciences,2,849,2,Male,150,4,2,Sales Representative,8,Divorced,17510,44192,10,Y,No,22,6,2,160,0,14,2,4,8,2,0,12
68,No,Non-Travel,1408,Research & Development,2,6,Life Sciences,2,888,2,Female,138,4,2,Laboratory Technician,8,Married,2018,35706,2,Y,No,36,6,8,160,2,40,6,2,16,8,0,0
82,No,Non-Travel,1164,Research & Development,48,6,Life Sciences,2,933,2,Male,196,6,8,Sales Representative,6,Single,22528,34294,14,Y,Yes,26,6,6,160,0,30,8,4,14,6,2,6
58,No,Non-Travel,866,Research & Development,28,8,Life Sciences,2,945,6,Male,98,4,2,Research Scientist,6,Single,14116,43484,0,Y,Yes,36,6,2,160,4,30,0,6,6,16,8,6
100,No,Non-Travel,1334,Research & Development,18,6,Life Sciences,2,1069,8,Female,120,6,2,Laboratory Technician,4,Single,14854,13970,2,Y,Yes,28,6,6,160,0,6,6,6,6,10,0,16
86,No,Non-Travel,1970,Research & Development,20,2,Life Sciences,2,1135,4,Female,174,4,2,Research Scientist,6,Single,16950,19268,4,Y,Yes,26,6,6,160,2,8,10,6,0,10,0,6
80,No,Non-Travel,986,Research & Development,40,2,Life Sciences,2,1184,2,Male,162,4,2,Sales Executive,2,Married,8808,44018,0,Y,No,24,8,2,160,0,26,4,4,0,2,0,14
80,No,Non-Travel,1066,Research & Development,14,2,Life Sciences,2,1234,4,Female,156,4,2,Research Scientist,4,Single,10614,19216,4,Y,No,34,6,8,160,0,32,2,4,24,10,14,0
36,No,Non-Travel,1588,Research & Development,44,6,Life Sciences,2,1260,4,Female,200,6,4,Research Scientist,4,Married,5618,18448,12,Y,No,22,6,2,160,0,36,6,4,34,4,12,6
38,No,Non-Travel,242,Research & Development,24,2,Life Sciences,2,1274,6,Male,128,4,2,Healthcare Representative,4,Single,12412,40406,6,Y,No,32,6,2,160,0,8,6,4,20,22,14,4
106,No,Non-Travel,1148,Research & Development,12,4,Life Sciences,2,1302,2,Female,162,6,6,Sales Executive,6,Single,32144,18034,4,Y,No,28,6,2,160,2,54,4,2,4,0,2,0
84,No,Non-Travel,1396,Research & Development,14,4,Life Sciences,2,1309,2,Male,126,4,4,Research Scientist,4,Married,14326,36906,0,Y,Yes,32,6,6,160,0,0,2,4,0,10,0,2
68,No,Non-Travel,888,Research & Development,2,6,Life Sciences,2,1316,8,Female,144,4,2,Manager,8,Single,17300,23914,14,Y,Yes,28,6,2,160,2,28,2,4,22,8,0,0
66,No,Non-Travel,1462,Research & Development,16,4,Life Sciences,2,1389,4,Male,186,6,2,Laboratory Technician,4,Married,22702,23276,0,Y,No,28,6,8,160,2,40,6,2,32,10,2,6
76,No,Non-Travel,2058,Research & Development,2,2,Life Sciences,2,1391,8,Female,92,6,2,Human Resources,2,Single,2018,50560,2,Y,Yes,22,6,4,160,2,40,2,4,38,0,8,8
84,No,Non-Travel,1630,Research & Development,46,2,Life Sciences,2,1404,6,Male,60,4,2,Healthcare Representative,2,Married,16456,33944,6,Y,Yes,26,6,4,160,2,4,6,4,0,0,0,8
54,No,Non-Travel,2010,Research & Development,20,4,Life Sciences,2,1405,6,Male,122,4,4,Manufacturing Director,6,Married,2890,31182,8,Y,No,28,6,4,160,0,50,4,8,18,4,0,18
42,No,Non-Travel,1776,Research & Development,6,6,Life Sciences,2,1435,4,Male,162,6,2,Laboratory Technician,2,Married,18448,46088,0,Y,No,30,6,4,160,0,0,6,6,4,10,2,14
74,No,Non-Travel,2206,Research & Development,20,2,Life Sciences,2,1458,8,Female,168,4,4,Manufacturing Director,6,Single,21230,48496,2,Y,No,22,6,2,160,2,0,2,6,0,16,2,12
56,No,Non-Travel,2806,Research & Development,16,4,Life Sciences,2,1812,2,Female,60,6,6,Laboratory Technician,4,Married,3310,14144,2,Y,No,32,6,6,160,0,34,2,6,38,8,14,0
50,No,Non-Travel,384,Research & Development,28,4,Life Sciences,2,1813,6,Female,190,6,6,Sales Representative,4,Single,2018,18150,12,Y,Yes,30,6,6,160,2,0,6,4,12,10,4,2
76,No,Non-Travel,204,Research & Development,2,6,Life Sciences,2,1905,2,Female,60,4,2,Manufacturing Director,6,Single,5638,34656,8,Y,No,28,6,8,160,2,16,4,4,24,6,0,6
96,No,Non-Travel,760,Research & Development,46,6,Life Sciences,2,2068,2,Male,146,4,8,Sales Executive,4,Divorced,19994,29108,6,Y,No,34,6,2,160,0,26,4,4,20,0,12,2
86,No,Non-Travel,286,Research & Development,20,6,Marketing,2,1,2,Female,148,6,6,Manager,6,Divorced,22558,43244,6,Y,Yes,26,6,8,160,0,52,8,6,0,10,8,10
82,No,Non-Travel,2998,Research & Development,28,4,Marketing,2,1,2,Female,140,6,4,Sales Executive,4,Married,9214,35190,0,Y,No,28,6,8,160,0,22,0,6,30,0,16,14
70,No,Non-Travel,2196,Research & Development,20,2,Marketing,2,1,2,Male,170,4,2,Sales Representative,6,Single,8080,44982,6,Y,No,38,6,2,160,2,46,4,4,12,14,0,12
88,No,Non-Travel,1706,Research & Development,10,10,Marketing,2,110,6,Male,110,6,2,Sales Representative,6,Married,13858,9856,0,Y,Yes,36,6,2,160,0,6,6,8,28,14,2,12
90,No,Non-Travel,1602,Research & Development,58,8,Marketing,2,259,6,Male,122,2,4,Healthcare Representative,4,Single,2018,33604,10,Y,Yes,22,6,2,160,2,0,4,4,12,0,6,8
66,No,Non-Travel,2434,Research & Development,22,4,Marketing,2,286,2,Female,132,2,4,Laboratory Technician,6,Married,17252,41054,10,Y,No,30,6,4,160,0,10,8,4,34,8,4,16
56,No,Non-Travel,1832,Research & Development,2,6,Marketing,2,356,6,Female,140,2,2,Research Director,4,Married,14790,13230,10,Y,No,22,6,6,160,0,42,8,4,14,6,6,10
90,No,Non-Travel,1416,Research & Development,2,4,Marketing,2,381,2,Male,70,6,2,Sales Executive,6,Divorced,23794,27320,6,Y,Yes,38,6,6,160,2,6,4,2,28,4,4,0
86,No,Non-Travel,1042,Research & Development,30,4,Marketing,2,833,6,Female,150,2,2,Laboratory Technician,8,Divorced,2018,24282,4,Y,Yes,32,6,6,160,2,0,2,2,44,2,0,14
64,No,Non-Travel,2998,Research & Development,12,6,Marketing,2,978,4,Female,192,2,6,Laboratory Technician,4,Single,2018,5950,6,Y,No,48,6,2,160,2,18,6,6,22,16,0,0
90,No,Non-Travel,1786,Research & Development,30,4,Marketing,2,1050,6,Female,102,4,4,Laboratory Technician,2,Single,23148,16432,6,Y,No,26,6,4,160,2,30,6,6,6,18,2,10
62,No,Non-Travel,2420,Research & Development,12,10,Marketing,2,1284,4,Female,144,6,2,Research Director,4,Divorced,10034,32914,0,Y,No,30,6,4,160,0,44,2,2,0,0,2,2
70,No,Non-Travel,454,Research & Development,40,6,Marketing,2,1615,6,Female,60,4,4,Sales Representative,4,Married,10386,34816,0,Y,No,42,6,4,160,0,28,2,4,18,4,16,0
94,No,Non-Travel,1472,Research & Development,10,6,Marketing,2,1701,8,Female,76,6,2,Sales Executive,2,Divorced,2314,29374,2,Y,No,44,6,2,160,0,34,0,4,22,12,10,8
80,No,Non-Travel,488,Research & Development,6,8,Medical,2,1,4,Female,126,6,4,Manufacturing Director,2,Single,12774,22300,12,Y,No,30,6,4,160,0,32,6,8,14,6,0,14
86,No,Non-Travel,460,Research & Development,28,2,Medical,2,147,6,Female,120,4,2,Research Scientist,2,Married,2018,35050,6,Y,Yes,26,6,6,160,0,22,4,6,38,0,4,6
56,No,Non-Travel,1514,Research & Development,2,4,Medical,2,156,6,Female,160,4,2,Healthcare Representative,8,Single,22266,25440,8,Y,No,36,6,8,160,0,16,4,4,14,18,6,8
36,No,Non-Travel,1000,Research & Development,2,2,Medical,2,313,2,Male,60,6,6,Research Director,6,Single,12406,15300,8,Y,Yes,38,6,2,160,0,34,2,6,26,4,2,0
78,No,Non-Travel,2094,Research & Development,58,4,Medical,2,375,6,Male,80,6,2,Manufacturing Director,4,Married,13968,50734,0,Y,Yes,36,6,2,160,0,0,4,4,2,10,0,18
86,No,Non-Travel,1804,Research & Development,2,2,Medical,2,386,4,Female,200,2,2,Sales Executive,4,Married,2018,27622,8,Y,No,28,6,4,160,0,24,4,6,0,10,0,16
74,No,Non-Travel,448,Research & Development,2,4,Medical,2,430,4,Female,106,4,6,Sales Executive,2,Married,7830,21842,2,Y,No,24,6,6,160,0,24,12,6,0,18,0,0
78,No,Non-Travel,2464,Research & Development,12,4,Medical,2,443,4,Male,200,6,6,Laboratory Technician,6,Divorced,16882,27422,4,Y,No,40,6,6,160,0,0,4,4,40,4,0,18
88,No,Non-Travel,1394,Research & Development,10,10,Medical,2,495,2,Female,172,6,4,Laboratory Technician,8,Divorced,19674,15366,2,Y,No,36,6,2,160,0,0,0,6,16,12,14,2
86,No,Non-Travel,1970,Research & Development,2,4,Medical,2,598,2,Male,108,4,4,Healthcare Representative,8,Single,18578,43694,10,Y,Yes,38,6,8,160,0,36,4,4,4,4,18,18
38,No,Non-Travel,1088,Research & Development,26,6,Medical,2,613,4,Male,190,4,4,Manager,6,Single,11096,30224,12,Y,No,28,6,6,160,2,34,4,4,10,14,0,14
86,No,Non-Travel,1700,Research & Development,12,2,Medical,2,614,8,Male,106,4,4,Healthcare Representative,4,Divorced,2018,4188,10,Y,No,46,6,4,160,0,8,4,6,44,10,0,0
90,No,Non-Travel,1146,Research & Development,14,6,Medical,2,756,6,Male,72,4,4,Sales Executive,4,Married,2018,39320,0,Y,No,22,6,4,160,2,6,10,2,2,12,0,0
52,No,Non-Travel,2766,Research & Development,6,4,Medical,2,809,8,Female,200,4,8,Laboratory Technician,6,Divorced,2018,10120,0,Y,No,28,6,8,160,2,18,4,4,28,0,6,10
100,No,Non-Travel,1102,Research & Development,18,4,Medical,2,817,6,Male,200,6,4,Manufacturing Director,4,Married,4322,12926,2,Y,No,44,6,2,160,0,48,8,6,12,0,22,6
70,No,Non-Travel,1626,Research & Development,2,4,Medical,2,840,2,Female,66,4,2,Sales Representative,2,Married,2018,28648,10,Y,No,30,6,4,160,0,12,4,4,2,4,8,18
56,No,Non-Travel,1268,Research & Development,34,8,Medical,2,843,4,Female,134,4,4,Sales Executive,2,Divorced,13628,17892,0,Y,No,28,6,4,160,0,8,6,4,0,0,14,8
104,No,Non-Travel,1648,Research & Development,8,6,Medical,2,853,8,Male,82,6,2,Research Scientist,4,Married,39366,22830,0,Y,No,28,6,4,160,2,42,2,4,16,2,4,0
38,No,Non-Travel,1394,Research & Development,28,4,Medical,2,896,2,Male,106,6,4,Sales Executive,4,Married,8644,6732,0,Y,No,26,6,4,160,2,16,0,2,24,0,2,2
88,No,Non-Travel,702,Research & Development,16,4,Medical,2,933,4,Female,116,4,4,Manufacturing Director,2,Divorced,8194,53998,0,Y,Yes,30,6,6,160,4,18,4,8,50,0,0,4
70,No,Non-Travel,846,Research & Development,22,2,Medical,2,945,6,Female,110,6,4,Research Scientist,2,Married,4306,11258,4,Y,No,38,6,2,160,0,14,0,6,10,2,0,2
52,No,Non-Travel,1510,Research & Development,28,6,Medical,2,962,8,Male,144,2,4,Manager,6,Single,16350,21640,0,Y,No,44,6,8,160,2,16,10,4,8,6,10,4
118,No,Non-Travel,1870,Research & Development,24,2,Medical,2,965,6,Male,144,2,4,Research Scientist,4,Single,17738,29450,0,Y,Yes,24,6,8,160,2,30,6,4,10,10,0,8
84,No,Non-Travel,1490,Research & Development,26,2,Medical,2,981,2,Male,96,2,6,Laboratory Technician,2,Single,2332,19784,2,Y,Yes,42,6,4,160,2,46,2,4,40,8,0,10
64,No,Non-Travel,1018,Research & Development,10,4,Medical,2,990,8,Female,144,6,6,Manufacturing Director,6,Married,3460,29056,4,Y,No,24,6,4,160,0,30,4,4,40,0,0,10
64,No,Non-Travel,1742,Research & Development,2,6,Medical,2,1002,8,Male,138,2,6,Sales Representative,6,Married,15008,29118,4,Y,Yes,34,6,4,160,0,48,6,4,0,0,4,0
92,No,Non-Travel,2284,Research & Development,28,2,Medical,2,1052,6,Male,200,6,4,Sales Executive,2,Divorced,13500,39352,4,Y,No,32,6,2,160,0,44,6,4,0,16,12,4
66,No,Non-Travel,1152,Research & Development,2,2,Medical,2,1143,6,Male,106,4,2,Human Resources,2,Divorced,16882,6676,0,Y,No,32,6,4,160,0,0,8,6,4,12,14,2
76,No,Non-Travel,2092,Research & Development,44,4,Medical,2,1146,8,Male,120,4,4,Manufacturing Director,6,Married,14674,13574,6,Y,No,26,6,4,160,0,20,2,6,4,16,8,4
48,No,Non-Travel,1438,Research & Development,40,4,Medical,2,1154,2,Male,124,4,2,Laboratory Technician,6,Married,22656,28344,8,Y,No,30,6,8,160,0,14,2,2,0,10,0,8
100,No,Non-Travel,2336,Research & Development,8,8,Medical,2,1157,4,Male,148,4,2,Laboratory Technician,6,Married,15798,13612,8,Y,No,38,6,4,160,0,42,6,4,0,6,8,4
88,No,Non-Travel,1984,Research & Development,2,2,Medical,2,1160,4,Male,182,2,2,Sales Executive,4,Divorced,15454,41612,6,Y,Yes,30,6,4,160,0,14,2,4,14,0,8,0
64,No,Non-Travel,1722,Research & Development,4,4,Medical,2,1210,6,Male,110,6,2,Laboratory Technician,6,Married,24480,27054,2,Y,No,28,6,2,160,0,22,6,4,8,2,0,0
58,No,Non-Travel,2238,Research & Development,34,6,Medical,2,1279,2,Female,178,6,6,Laboratory Technician,2,Married,23934,23232,0,Y,No,26,6,6,160,2,24,6,6,18,4,6,4
64,No,Non-Travel,538,Research & Development,16,4,Medical,2,1308,2,Male,188,6,4,Sales Executive,4,Single,15218,42132,0,Y,Yes,38,6,6,160,0,0,6,2,28,12,0,10
60,No,Non-Travel,1326,Research & Development,2,6,Medical,2,1369,4,Female,194,2,6,Laboratory Technician,2,Single,7982,34238,0,Y,No,34,6,6,160,0,38,6,4,18,22,8,4
116,No,Non-Travel,2472,Research & Development,42,2,Medical,2,1389,2,Male,114,2,6,Research Scientist,6,Married,19080,30040,8,Y,No,38,6,4,160,2,6,2,6,0,6,8,20
78,No,Non-Travel,1322,Research & Development,40,4,Medical,2,1434,2,Male,98,4,4,Research Scientist,6,Married,3148,36002,0,Y,Yes,42,6,4,160,2,28,6,4,10,4,0,0
62,No,Non-Travel,1858,Research & Development,2,8,Medical,2,1525,4,Male,136,2,4,Sales Executive,4,Single,15716,51430,4,Y,No,36,6,4,160,0,40,6,4,8,18,0,2
74,No,Non-Travel,1828,Research & Development,30,2,Medical,2,1658,4,Female,60,4,2,Manufacturing Director,6,Single,23976,20036,4,Y,No,22,6,6,160,0,8,2,4,18,4,16,6
40,No,Non-Travel,1056,Research & Development,44,10,Medical,2,1667,4,Female,128,4,2,Sales Executive,4,Divorced,8190,27498,6,Y,No,32,6,2,160,0,40,6,4,52,2,8,16
64,No,Non-Travel,2656,Research & Development,4,6,Medical,2,1784,4,Female,166,4,2,Sales Executive,2,Single,2256,39724,10,Y,Yes,26,6,2,160,2,12,2,2,8,0,0,20
46,No,Non-Travel,1184,Research & Development,2,2,Medical,2,1836,4,Female,174,4,2,Sales Representative,6,Divorced,2018,19868,0,Y,No,32,6,2,160,0,32,8,4,30,4,0,0
64,No,Non-Travel,1910,Research & Development,2,4,Medical,2,1853,2,Female,134,4,4,Research Scientist,4,Single,28842,31056,0,Y,No,34,6,4,160,0,2,6,4,30,10,14,16
104,No,Non-Travel,2530,Research & Development,6,6,Medical,2,1867,6,Male,142,6,8,Sales Executive,2,Married,9586,11930,4,Y,No,34,6,2,160,0,20,6,4,16,4,6,0
80,No,Non-Travel,1590,Research & Development,6,2,Medical,2,1880,6,Male,114,6,2,Sales Executive,8,Married,17994,34256,12,Y,Yes,22,6,6,160,0,26,4,8,18,8,0,4
80,No,Non-Travel,2442,Research & Development,2,6,Medical,2,2033,4,Female,118,6,6,Manufacturing Director,6,Married,7266,41482,6,Y,No,28,6,2,160,0,32,8,2,24,10,0,8
48,No,Non-Travel,1560,Research & Development,18,4,Other,2,25,4,Male,152,4,4,Research Scientist,6,Divorced,36982,31778,0,Y,No,40,6,8,160,0,14,6,4,22,10,2,20
82,No,Non-Travel,1074,Research & Development,12,8,Other,2,54,6,Male,104,6,2,Manufacturing Director,2,Married,5026,28694,12,Y,No,22,6,6,160,0,20,0,6,18,8,4,4
66,No,Non-Travel,1214,Research & Development,26,6,Other,2,410,8,Female,140,4,2,Research Scientist,2,Married,15862,7812,6,Y,Yes,28,6,4,160,0,34,6,6,10,10,0,2
42,No,Non-Travel,2412,Research & Development,34,4,Other,2,777,4,Female,200,4,4,Research Scientist,6,Married,2246,35178,4,Y,Yes,32,6,4,160,4,0,4,4,22,0,2,22
102,No,Non-Travel,2604,Research & Development,2,6,Other,2,1332,6,Female,158,6,4,Research Scientist,6,Single,12558,23530,4,Y,No,32,6,4,160,2,38,8,2,0,10,8,8
54,No,Non-Travel,1742,Research & Development,12,6,Other,2,1756,6,Female,86,6,6,Healthcare Representative,4,Married,23464,51380,14,Y,No,30,6,4,160,0,20,2,4,0,18,2,6
36,No,Non-Travel,1152,Research & Development,2,2,Technical Degree,2,1,2,Female,176,2,2,Manager,4,Married,26794,25670,0,Y,No,22,6,2,160,0,28,4,6,24,12,0,18
86,No,Non-Travel,1232,Research & Development,10,8,Technical Degree,2,1,4,Female,106,6,4,Sales Executive,2,Divorced,21776,4188,8,Y,Yes,22,6,6,160,0,34,6,6,22,0,2,12
76,No,Non-Travel,2078,Research & Development,2,4,Technical Degree,2,1048,2,Female,108,6,4,Laboratory Technician,2,Married,3690,4188,4,Y,No,34,6,8,160,0,0,6,4,16,12,14,8
94,No,Non-Travel,2326,Research & Development,8,2,Technical Degree,2,1439,8,Female,116,4,4,Laboratory Technician,4,Divorced,22190,40114,2,Y,Yes,26,6,4,160,4,0,6,6,34,8,2,10
58,No,Non-Travel,934,Research & Development,14,4,Technical Degree,2,1855,4,Female,174,6,4,Manufacturing Director,2,Single,4652,49722,0,Y,Yes,30,6,2,160,4,32,4,6,14,2,4,4
68,No,Non-Travel,1932,Sales,2,6,Human Resources,2,687,6,Female,122,2,2,Healthcare Representative,4,Divorced,18548,44830,4,Y,No,36,6,2,160,2,42,4,6,14,6,0,2
84,No,Non-Travel,1378,Sales,42,6,Life Sciences,2,29,6,Male,130,4,2,Research Scientist,6,Divorced,2986,43062,10,Y,No,28,6,2,160,2,0,2,8,18,10,2,8
78,No,Non-Travel,1188,Sales,30,4,Life Sciences,2,457,2,Female,76,4,2,Sales Executive,2,Single,2018,44238,4,Y,No,28,6,2,160,0,8,4,2,14,14,2,12
40,No,Non-Travel,320,Sales,18,4,Life Sciences,2,651,4,Female,172,6,4,Laboratory Technician,4,Divorced,17540,24608,2,Y,No,28,6,2,160,2,18,6,8,8,4,8,6
88,No,Non-Travel,204,Sales,4,10,Life Sciences,2,717,8,Female,144,2,6,Human Resources,2,Single,6224,36020,6,Y,Yes,28,6,2,160,0,20,6,2,4,0,0,2
84,No,Non-Travel,2610,Sales,20,4,Life Sciences,2,755,2,Female,164,4,2,Sales Executive,6,Divorced,16842,28288,0,Y,No,32,6,6,160,0,2,0,4,16,0,0,6
56,No,Non-Travel,1982,Sales,18,8,Life Sciences,2,778,2,Male,192,4,2,Sales Executive,6,Single,2018,43504,0,Y,No,32,6,6,160,2,12,4,4,0,12,0,28
76,No,Non-Travel,2150,Sales,6,6,Life Sciences,2,856,4,Male,142,6,2,Manager,2,Married,22042,49608,0,Y,No,40,6,4,160,2,0,8,2,22,6,0,6
56,No,Non-Travel,1284,Sales,20,6,Life Sciences,2,972,6,Male,134,4,6,Research Director,6,Single,11560,10154,4,Y,No,38,6,6,160,0,32,6,4,10,0,0,0
104,No,Non-Travel,2710,Sales,2,2,Life Sciences,2,1043,8,Female,88,4,2,Research Director,2,Married,11494,23216,6,Y,Yes,40,6,2,160,0,16,6,2,4,2,0,10
90,No,Non-Travel,2106,Sales,10,4,Life Sciences,2,1069,2,Female,96,4,4,Sales Executive,8,Married,39998,9684,12,Y,No,36,6,6,160,0,4,4,4,24,18,4,4
68,No,Non-Travel,2264,Sales,2,4,Life Sciences,2,1074,6,Male,180,4,4,Sales Executive,6,Single,16732,16394,2,Y,Yes,38,6,4,160,4,22,4,6,22,4,4,22
96,No,Non-Travel,1286,Sales,4,4,Life Sciences,2,1099,6,Male,154,6,2,Research Director,4,Single,14028,30808,8,Y,Yes,24,6,2,160,0,22,6,2,8,0,16,4
44,No,Non-Travel,598,Sales,2,4,Life Sciences,2,1181,8,Male,148,6,2,Sales Representative,2,Divorced,20890,53998,2,Y,No,32,6,2,160,0,14,0,4,12,14,2,8
82,No,Non-Travel,2120,Sales,2,6,Life Sciences,2,1239,4,Male,134,4,2,Research Scientist,2,Married,22386,13956,6,Y,No,24,6,4,160,2,26,2,4,26,10,6,18
52,No,Non-Travel,1694,Sales,18,4,Life Sciences,2,1382,2,Male,82,4,6,Sales Executive,6,Single,6204,28364,12,Y,No,24,6,2,160,0,0,6,4,36,14,2,16
70,No,Non-Travel,1746,Sales,10,8,Life Sciences,2,1411,4,Male,88,4,6,Healthcare Representative,4,Single,7612,19936,10,Y,No,28,6,8,160,0,14,8,4,0,4,10,0
70,No,Non-Travel,1426,Sales,28,6,Life Sciences,2,1588,6,Female,76,4,2,Sales Executive,6,Married,8812,24696,14,Y,No,30,6,4,160,0,0,4,4,30,0,0,4
72,No,Non-Travel,1586,Sales,28,4,Life Sciences,2,1596,4,Female,112,4,4,Laboratory Technician,6,Married,15772,35626,8,Y,No,30,6,4,160,0,0,2,4,22,22,10,8
62,No,Non-Travel,1592,Sales,58,6,Life Sciences,2,1616,8,Male,90,6,4,Sales Executive,2,Single,26334,49428,10,Y,No,32,6,6,160,4,20,6,6,18,0,8,6
84,No,Non-Travel,1892,Sales,2,6,Life Sciences,2,1665,4,Male,152,4,6,Manufacturing Director,2,Single,3244,30344,2,Y,No,44,6,4,160,2,10,4,4,20,0,6,14
