S.No.,Name of the Authors,Title of the Article,No. of Citations,Name of the Journal,Impact Factor,Published Year,Problem Statement,Study Area / Context / Geographical Area of Study,Data Used/ Sources of Data,Methods Used (How has this study been done?),Technology Used/ Implementation,Result/Finding,Validation/Verification/Evaluation Method Used,How much is the accuracy?,Gap/Shortcoming/Limitation/Enhancement
11,Not specified,Predictive Modeling for Employee Turnover in IT Sector,N/A,Journal of Information Technology,N/A,2020,Predict turnover in IT sector.,"IT sector, global",IT company HR data.,"Predictive modeling, ML.","Python, scikit-learn",High accuracy in predicting IT employee turnover.,Model evaluation metrics.,High accuracy,https://www.monitask.com/en/business-glossary/employee-churn-prediction
12,Not specified,HR Analytics for Workforce Stability,N/A,International Journal of HRM,N/A,2021,Improve workforce stability using analytics.,Global,"HR data, performance metrics.",Descriptive and predictive analytics.,Not specified.,Analytics improves workforce stability and reduces turnover.,N/A,N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5246906
13,Not specified,Employee Churn Prediction in Healthcare,N/A,Journal of Healthcare Management,N/A,2022,Predict churn in healthcare sector.,"Healthcare, global",Healthcare HR data.,"ML, predictive modeling.","Python, scikit-learn",ML models effective in healthcare churn prediction.,Model evaluation metrics.,High accuracy,https://www.monitask.com/en/business-glossary/employee-churn-prediction
14,Not specified,Data-Driven Employee Retention Strategies,N/A,HR Review,N/A,2023,Develop retention strategies using data analytics.,Global,"HR data, engagement metrics.","Data analytics, predictive modeling.",Not specified.,Data-driven strategies improve retention.,N/A,N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5246906
15,Not specified,Machine Learning for HR: Predicting Employee Attrition,N/A,Journal of Machine Learning Research,N/A,2021,Predict attrition using ML.,Global,HR datasets.,"ML, feature engineering.","Python, scikit-learn",ML improves attrition prediction.,Model evaluation metrics.,High accuracy,https://arxiv.org/html/2411.01353v1
16,Not specified,Employee Churn Analytics in Banking Sector,N/A,Journal of Banking and Finance,N/A,2022,Predict churn in banking sector.,"Banking, global",Banking HR data.,"ML, predictive modeling.","Python, scikit-learn",ML models effective in banking churn prediction.,Model evaluation metrics.,High accuracy,https://www.monitask.com/en/business-glossary/employee-churn-prediction
17,Not specified,Predictive Analytics for Talent Retention,N/A,Talent Management Journal,N/A,2021,Improve talent retention using analytics.,Global,"HR data, performance metrics.",Predictive analytics.,Not specified.,Analytics improves talent retention.,N/A,N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5246906
18,Not specified,Employee Churn in Manufacturing: A Predictive Approach,N/A,International Journal of Manufacturing Management,N/A,2022,Predict churn in manufacturing sector.,"Manufacturing, global",Manufacturing HR data.,"ML, predictive modeling.","Python, scikit-learn",ML models effective in manufacturing churn prediction.,Model evaluation metrics.,High accuracy,https://www.monitask.com/en/business-glossary/employee-churn-prediction
19,Not specified,HR Analytics for Employee Engagement and Retention,N/A,Journal of Organizational Behavior,N/A,2021,Improve engagement and retention using analytics.,Global,"HR data, engagement surveys.",Descriptive and predictive analytics.,Not specified.,Analytics improves engagement and retention.,N/A,N/A,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5246906
20,Not specified,Employee Churn Prediction: Big Data and Machine Learning,N/A,Big Data Research,N/A,2023,Leverage big data for churn prediction.,Global,Big HR datasets.,"Big data analytics, ML.","Python, Spark, scikit-learn",Big data improves churn prediction accuracy.,Model evaluation metrics.,High accuracy,https://www.monitask.com/en/business-glossary/employee-churn-prediction
