Age,Attrition,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany
44,No,Research & Development,7,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,No,24,3.0,22.0
46,No,Sales,2,Marketing,2,Female,3,5,Manager,1,Single,18947,No,22,2.0,2.0
33,No,Research & Development,2,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,No,7,3.0,1.0
44,No,Research & Development,10,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,Yes,9,4.0,4.0
30,No,Research & Development,9,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,No,10,3.0,10.0
24,Yes,Research & Development,1,Medical,2,Male,3,1,Research Scientist,4,Married,2293,Yes,6,2.0,2.0
43,No,Research & Development,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,No,6,2.0,5.0
50,Yes,Sales,3,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,Yes,3,3.0,3.0
35,No,Sales,2,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,No,2,3.0,2.0
36,No,Research & Development,5,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,Yes,6,4.0,1.0
33,No,Sales,1,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,No,10,3.0,5.0
35,No,Research & Development,4,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,No,1,3.0,1.0
27,No,Research & Development,2,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,No,1,3.0,1.0
26,Yes,Research & Development,25,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,No,1,2.0,1.0
27,No,Sales,8,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,No,9,3.0,9.0
30,No,Research & Development,1,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,No,12,3.0,12.0
41,Yes,Research & Development,12,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,No,23,3.0,22.0
34,No,Sales,23,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,No,10,3.0,9.0
37,No,Research & Development,19,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,No,8,3.0,1.0
46,No,Sales,5,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,Yes,14,3.0,9.0
35,No,Research & Development,8,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,No,1,3.0,1.0
48,Yes,Research & Development,1,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,Yes,23,3.0,1.0
28,Yes,Research & Development,5,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,Yes,2,2.0,2.0
44,No,Sales,1,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,Yes,9,2.0,4.0
35,No,Research & Development,11,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,Yes,10,3.0,4.0
26,No,Sales,23,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,Yes,5,2.0,2.0
33,No,Research & Development,1,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,Yes,15,3.0,15.0
35,No,Sales,18,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,No,9,2.0,9.0
35,No,Research & Development,23,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,Yes,4,3.0,2.0
31,No,Research & Development,7,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,No,10,2.0,7.0
37,No,Research & Development,1,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,No,7,4.0,7.0
32,No,Research & Development,1,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,Yes,9,3.0,9.0
38,No,Research & Development,29,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,No,10,3.0,10.0
50,No,Research & Development,7,Medical,2,Female,2,5,Research Director,3,Divorced,18740,Yes,29,2.0,27.0
59,No,Sales,25,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,No,28,2.0,21.0
36,No,Research & Development,8,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,No,17,3.0,17.0
55,No,Research & Development,8,Medical,4,Female,3,4,Manager,3,Divorced,14756,Yes,21,3.0,5.0
36,No,Research & Development,11,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,No,6,3.0,6.0
45,No,Research & Development,7,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,No,25,3.0,1.0
35,No,Research & Development,1,Medical,2,Male,3,1,Research Scientist,1,Married,2194,No,5,2.0,3.0
36,Yes,Research & Development,9,Medical,4,Male,2,1,Research Scientist,3,Married,3388,Yes,2,2.0,1.0
59,No,Sales,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,No,20,2.0,4.0
29,No,Research & Development,2,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,No,6,3.0,5.0
31,No,Research & Development,1,Medical,3,Male,3,1,Research Scientist,2,Single,2501,No,1,3.0,1.0
32,No,Research & Development,1,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,No,10,3.0,10.0
36,No,Research & Development,6,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,No,5,3.0,1.0
31,No,Research & Development,8,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,No,11,3.0,11.0
35,No,Sales,1,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,No,16,3.0,15.0
45,No,Research & Development,6,Other,4,Male,3,3,Research Director,1,Married,13245,Yes,17,4.0,0.0
37,No,Research & Development,7,Medical,1,Male,3,3,Research Director,3,Single,13664,No,16,4.0,5.0
46,No,Human Resources,5,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,Yes,16,3.0,4.0
30,No,Research & Development,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,Yes,10,2.0,10.0
35,No,Research & Development,1,Medical,2,Male,2,1,Research Scientist,3,Single,2859,No,6,3.0,6.0
55,No,Sales,1,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,No,24,3.0,1.0
38,No,Research & Development,6,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,Yes,17,3.0,13.0
34,No,Research & Development,1,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,No,5,3.0,5.0
56,No,Research & Development,7,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,No,37,2.0,6.0
23,No,Sales,2,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,No,3,3.0,0.0
51,No,Research & Development,9,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,No,10,3.0,4.0
30,No,Research & Development,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,No,11,3.0,11.0
46,Yes,Sales,9,Medical,3,Male,2,3,Sales Executive,4,Single,9619,No,9,3.0,9.0
40,No,Research & Development,1,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,No,22,2.0,22.0
51,No,Sales,21,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,Yes,11,1.0,10.0
30,No,Sales,4,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,Yes,11,2.0,11.0
46,No,Research & Development,1,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,Yes,21,2.0,10.0
32,No,Sales,6,Medical,2,Male,3,2,Sales Executive,3,Single,5010,No,12,3.0,11.0
54,No,Research & Development,2,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,No,16,1.0,4.0
24,No,Sales,3,Other,1,Female,3,2,Sales Executive,3,Married,4999,No,4,2.0,3.0
28,No,Sales,4,Medical,2,Male,3,2,Sales Executive,3,Married,4221,No,5,4.0,5.0
58,No,Sales,10,Medical,4,Male,3,4,Sales Executive,3,Single,13872,No,38,2.0,37.0
44,No,Research & Development,23,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,No,17,4.0,3.0
37,Yes,Human Resources,6,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,Yes,7,3.0,3.0
32,No,Research & Development,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,No,1,3.0,1.0
20,Yes,Research & Development,6,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,Yes,1,3.0,1.0
34,No,Research & Development,6,Other,1,Female,3,2,Research Scientist,3,Single,4809,No,16,3.0,16.0
37,No,Research & Development,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,5163,No,17,4.0,1.0
59,No,Human Resources,2,Human Resources,3,Female,2,5,Manager,4,Married,18844,No,30,3.0,3.0
50,No,Research & Development,1,Life Sciences,1,Female,3,5,Research Director,2,Married,18172,Yes,28,2.0,8.0
25,Yes,Sales,5,Marketing,3,Male,2,2,Sales Executive,3,Single,5744,Yes,6,3.0,6.0
25,No,Research & Development,7,Medical,4,Male,2,1,Research Scientist,4,Married,2889,No,2,3.0,2.0
22,No,Research & Development,15,Medical,2,Female,3,1,Laboratory Technician,4,Single,2871,No,1,3.0,0.0
51,No,Research & Development,1,Medical,1,Female,2,3,Healthcare Representative,1,Single,7484,No,23,2.0,13.0
34,Yes,Research & Development,7,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,6074,Yes,9,3.0,9.0
54,No,Human Resources,26,Human Resources,4,Female,4,4,Manager,4,Single,17328,Yes,23,3.0,5.0
24,No,Research & Development,18,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,2774,No,6,3.0,5.0
34,No,Research & Development,6,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,4505,No,12,3.0,1.0
37,No,Sales,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,7428,No,12,3.0,5.0
34,No,Research & Development,5,Medical,3,Female,2,3,Manager,1,Single,11631,No,14,3.0,11.0
36,No,Sales,11,Technical Degree,2,Female,3,3,Sales Executive,4,Married,9738,No,10,3.0,9.0
36,No,Research & Development,3,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,2835,No,7,3.0,1.0
43,No,Sales,26,Life Sciences,3,Male,3,4,Manager,4,Married,16959,Yes,25,4.0,25.0
30,No,Research & Development,23,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,2613,No,10,2.0,10.0
33,No,Sales,22,Marketing,3,Male,3,2,Sales Executive,2,Married,6146,No,8,4.0,7.0
56,Yes,Research & Development,14,Life Sciences,2,Female,3,1,Research Scientist,2,Married,4963,Yes,7,3.0,5.0
51,No,Research & Development,6,Life Sciences,1,Male,3,5,Research Director,3,Single,19537,No,23,3.0,20.0
31,Yes,Sales,6,Life Sciences,2,Male,1,2,Sales Executive,3,Married,6172,Yes,12,2.0,7.0
26,No,Research & Development,6,Other,3,Female,2,1,Research Scientist,2,Married,2368,No,5,2.0,5.0
58,Yes,Research & Development,23,Medical,4,Female,3,3,Healthcare Representative,4,Married,10312,No,40,2.0,40.0
19,Yes,Sales,22,Marketing,4,Male,3,1,Sales Representative,3,Single,1675,Yes,0,2.0,0.0
22,No,Research & Development,2,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,2523,No,3,3.0,2.0
49,No,Research & Development,20,Medical,3,Female,3,2,Manufacturing Director,1,Married,6567,No,16,2.0,15.0
43,No,Research & Development,28,Medical,2,Female,4,1,Research Scientist,3,Single,4739,No,18,3.0,3.0
50,No,Sales,12,Marketing,3,Female,3,3,Sales Executive,4,Single,9208,No,16,3.0,2.0
31,Yes,Sales,20,Life Sciences,2,Female,1,2,Sales Executive,3,Married,4559,Yes,4,3.0,2.0
41,No,Sales,9,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,8189,Yes,12,3.0,9.0
26,No,Human Resources,25,Life Sciences,3,Female,3,1,Human Resources,3,Married,2942,No,8,3.0,8.0
36,No,Research & Development,6,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,4941,No,7,3.0,3.0
51,Yes,Research & Development,8,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,10650,No,18,3.0,4.0
39,No,Sales,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,5902,No,17,4.0,15.0
25,No,Sales,28,Life Sciences,1,Male,2,2,Sales Executive,3,Married,8639,No,6,3.0,2.0
30,No,Human Resources,9,Human Resources,3,Male,3,2,Human Resources,4,Married,6347,Yes,12,1.0,11.0
32,Yes,Research & Development,9,Medical,1,Female,3,1,Laboratory Technician,1,Single,4200,No,10,4.0,5.0
45,No,Research & Development,29,Medical,3,Male,3,1,Research Scientist,4,Single,3452,No,9,2.0,6.0
38,No,Research & Development,3,Technical Degree,4,Female,3,2,Research Scientist,3,Single,4317,Yes,19,3.0,3.0
30,No,Research & Development,18,Life Sciences,1,Female,3,1,Research Scientist,3,Single,2632,No,5,2.0,5.0
32,No,Sales,9,Medical,4,Male,1,2,Sales Executive,4,Divorced,4668,No,9,4.0,8.0
30,No,Research & Development,5,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,3204,No,8,3.0,3.0
30,No,Research & Development,2,Medical,2,Male,2,1,Laboratory Technician,4,Single,2720,No,6,3.0,5.0
41,No,Research & Development,10,Life Sciences,4,Male,2,4,Manager,1,Divorced,17181,No,21,2.0,7.0
41,No,Research & Development,9,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,2238,No,7,3.0,5.0
19,No,Research & Development,3,Medical,2,Female,3,1,Laboratory Technician,2,Single,1483,No,1,3.0,1.0
40,No,Research & Development,26,Medical,2,Female,3,2,Research Scientist,2,Divorced,5605,No,20,3.0,20.0
35,No,Sales,1,Marketing,3,Male,3,3,Sales Executive,2,Married,7295,No,10,3.0,10.0
53,No,Sales,6,Marketing,2,Male,3,2,Sales Representative,3,Married,2306,Yes,13,1.0,7.0
45,No,Research & Development,9,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,2348,No,20,1.0,17.0
32,No,Sales,8,Marketing,2,Female,3,3,Sales Executive,4,Single,8998,No,9,3.0,9.0
29,No,Research & Development,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,Married,4319,No,10,3.0,10.0
51,No,Research & Development,7,Medical,2,Male,2,2,Manufacturing Director,3,Married,6132,No,10,3.0,1.0
58,No,Research & Development,9,Medical,2,Female,2,1,Research Scientist,2,Married,3346,Yes,9,2.0,1.0
40,No,Sales,4,Marketing,3,Male,2,3,Sales Executive,4,Married,10855,No,15,2.0,12.0
34,No,Sales,2,Marketing,3,Female,3,1,Sales Representative,3,Married,2231,No,6,3.0,4.0
22,No,Research & Development,19,Medical,3,Male,3,1,Research Scientist,4,Married,2323,No,2,3.0,2.0
27,No,Research & Development,9,Medical,4,Male,3,1,Research Scientist,2,Divorced,2024,No,6,1.0,2.0
28,No,Research & Development,21,Medical,3,Male,3,1,Research Scientist,4,Married,2713,No,5,1.0,5.0
57,No,Research & Development,24,Life Sciences,3,Male,4,3,Healthcare Representative,4,Divorced,9439,Yes,12,1.0,5.0
27,No,Research & Development,3,Medical,3,Male,2,1,Research Scientist,3,Divorced,2566,Yes,1,2.0,1.0
50,No,Research & Development,11,Life Sciences,3,Female,3,5,Manager,2,Single,19926,No,21,3.0,5.0
41,No,Research & Development,14,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2451,No,13,3.0,9.0
30,No,Sales,5,Life Sciences,2,Female,3,3,Sales Executive,4,Married,9419,No,12,3.0,10.0
38,No,Sales,1,Life Sciences,1,Female,2,2,Sales Executive,4,Single,8686,No,12,4.0,8.0
32,No,Research & Development,6,Life Sciences,3,Male,3,1,Research Scientist,3,Single,3038,No,8,3.0,5.0
27,No,Research & Development,17,Technical Degree,3,Male,3,1,Research Scientist,2,Married,3058,Yes,6,2.0,5.0
19,Yes,Sales,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,2325,No,1,4.0,0.0
36,No,Research & Development,3,Medical,4,Male,3,1,Laboratory Technician,2,Single,2088,No,13,2.0,8.0
30,No,Research & Development,9,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,3072,No,12,3.0,12.0
45,No,Sales,4,Life Sciences,3,Female,3,2,Sales Executive,1,Divorced,5006,Yes,9,4.0,5.0
56,No,Research & Development,8,Life Sciences,3,Female,3,1,Research Scientist,1,Divorced,4257,Yes,19,3.0,2.0
33,No,Research & Development,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,2500,No,4,4.0,3.0
19,Yes,Research & Development,2,Life Sciences,2,Male,2,1,Laboratory Technician,4,Single,1102,No,1,2.0,1.0
46,No,Sales,1,Marketing,2,Female,3,3,Sales Executive,1,Divorced,10453,No,24,3.0,24.0
38,No,Research & Development,9,Life Sciences,3,Female,3,1,Laboratory Technician,4,Single,2288,No,2,3.0,2.0
31,No,Research & Development,12,Medical,3,Female,3,1,Research Scientist,4,Married,3929,Yes,7,3.0,4.0
34,No,Research & Development,27,Medical,4,Female,3,1,Research Scientist,2,Single,2311,No,9,3.0,3.0
41,Yes,Sales,20,Marketing,2,Female,3,1,Sales Representative,2,Single,3140,Yes,4,2.0,4.0
50,No,Research & Development,1,Medical,3,Male,2,1,Laboratory Technician,3,Married,3690,No,5,2.0,3.0
53,No,Research & Development,13,Medical,4,Female,4,2,Manufacturing Director,1,Divorced,4450,No,5,3.0,4.0
33,No,Research & Development,14,Medical,4,Female,3,1,Research Scientist,2,Married,2756,No,8,3.0,8.0
40,No,Research & Development,4,Medical,4,Female,3,5,Manager,3,Married,19033,No,21,3.0,20.0
55,No,Research & Development,14,Medical,3,Male,4,5,Research Director,2,Single,18722,No,36,3.0,24.0
34,No,Research & Development,2,Life Sciences,4,Male,2,2,Manufacturing Director,3,Married,9547,No,10,2.0,10.0
51,No,Research & Development,3,Medical,4,Female,3,4,Healthcare Representative,2,Single,13734,No,21,3.0,7.0
52,No,Research & Development,1,Life Sciences,3,Male,2,5,Manager,3,Married,19999,No,34,3.0,33.0
27,No,Research & Development,9,Medical,4,Female,3,1,Research Scientist,2,Single,2279,No,7,2.0,7.0
35,Yes,Research & Development,23,Life Sciences,2,Male,2,2,Manufacturing Director,3,Married,5916,Yes,8,3.0,1.0
43,No,Research & Development,7,Medical,4,Male,4,1,Research Scientist,4,Divorced,2089,No,7,4.0,5.0
45,No,Research & Development,2,Medical,1,Male,2,4,Manager,4,Married,16792,No,22,3.0,20.0
37,No,Research & Development,21,Life Sciences,2,Male,4,1,Research Scientist,1,Married,3564,Yes,8,2.0,8.0
35,No,Research & Development,2,Medical,2,Female,3,2,Laboratory Technician,2,Single,4425,No,10,3.0,6.0
42,No,Research & Development,21,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,5265,No,11,3.0,5.0
38,No,Research & Development,2,Life Sciences,4,Male,3,2,Manufacturing Director,3,Married,6553,No,14,3.0,1.0
38,No,Research & Development,29,Technical Degree,4,Male,3,2,Manufacturing Director,4,Married,6261,No,9,1.0,7.0
27,No,Research & Development,1,Technical Degree,3,Male,2,2,Manufacturing Director,1,Married,4298,No,6,3.0,2.0
49,No,Research & Development,18,Life Sciences,4,Male,3,2,Manufacturing Director,4,Divorced,6804,Yes,7,3.0,7.0
34,No,Research & Development,10,Medical,4,Male,3,1,Research Scientist,3,Divorced,3815,Yes,5,4.0,5.0
40,No,Research & Development,19,Medical,3,Male,3,2,Laboratory Technician,4,Married,2741,Yes,15,4.0,7.0
38,Yes,Research & Development,29,Medical,2,Male,3,2,Healthcare Representative,1,Married,6673,Yes,17,3.0,1.0
29,Yes,Sales,27,Marketing,2,Female,3,3,Sales Executive,4,Married,7639,No,10,2.0,10.0
22,No,Research & Development,5,Life Sciences,4,Male,4,1,Research Scientist,2,Divorced,2328,Yes,4,2.0,4.0
36,No,Research & Development,18,Medical,2,Female,3,1,Laboratory Technician,4,Single,2153,No,8,3.0,8.0
40,No,Research & Development,9,Life Sciences,4,Male,2,2,Healthcare Representative,4,Married,4876,No,5,1.0,3.0
46,No,Research & Development,1,Medical,4,Male,3,3,Healthcare Representative,1,Divorced,9396,No,17,3.0,4.0
32,Yes,Sales,4,Medical,4,Male,1,3,Sales Executive,4,Married,10400,No,14,2.0,14.0
30,No,Research & Development,1,Life Sciences,3,Male,2,3,Manufacturing Director,3,Single,8474,No,12,3.0,11.0
27,No,Sales,20,Life Sciences,4,Female,3,2,Sales Executive,3,Single,9981,No,7,3.0,7.0
51,No,Research & Development,8,Life Sciences,2,Male,2,3,Research Director,2,Married,12490,No,16,1.0,10.0
30,Yes,Research & Development,3,Technical Degree,4,Female,3,1,Research Scientist,1,Single,2657,Yes,8,3.0,5.0
41,No,Sales,6,Life Sciences,4,Female,3,3,Manager,4,Single,13591,Yes,16,3.0,1.0
30,Yes,Sales,26,Marketing,3,Female,2,2,Sales Executive,1,Single,6696,No,9,2.0,6.0
29,Yes,Research & Development,1,Technical Degree,3,Male,3,1,Research Scientist,3,Single,2058,No,7,2.0,6.0
45,No,Sales,6,Medical,4,Female,2,3,Sales Executive,4,Single,8865,No,23,3.0,19.0
54,No,Sales,3,Marketing,4,Female,3,2,Sales Executive,1,Married,5940,No,16,3.0,6.0
36,No,Research & Development,5,Life Sciences,4,Male,3,2,Laboratory Technician,2,Single,5914,No,16,4.0,13.0
33,No,Research & Development,4,Medical,3,Female,2,1,Research Scientist,2,Married,2622,No,7,3.0,3.0
37,No,Research & Development,11,Other,2,Male,3,3,Research Director,4,Divorced,12185,Yes,10,3.0,10.0
38,No,Sales,3,Life Sciences,1,Male,3,3,Sales Executive,3,Divorced,10609,No,17,2.0,16.0
31,No,Research & Development,1,Medical,3,Male,1,2,Manufacturing Director,3,Married,4345,No,6,3.0,5.0
59,No,Research & Development,3,Life Sciences,3,Male,2,1,Research Scientist,4,Married,2177,No,7,3.0,1.0
37,No,Sales,4,Marketing,1,Male,3,1,Sales Representative,4,Divorced,2793,No,13,3.0,9.0
29,No,Sales,1,Medical,2,Female,3,3,Sales Executive,4,Married,7918,No,11,3.0,11.0
35,No,Sales,1,Marketing,3,Female,3,3,Sales Executive,3,Single,8789,No,10,4.0,10.0
29,Yes,Research & Development,18,Medical,3,Male,2,1,Research Scientist,4,Single,2389,Yes,4,2.0,4.0
52,No,Research & Development,2,Life Sciences,3,Female,2,1,Laboratory Technician,4,Single,3212,No,6,2.0,2.0
42,No,Research & Development,4,Technical Degree,3,Male,3,5,Manager,4,Married,19232,No,22,3.0,22.0
59,No,Human Resources,6,Medical,2,Male,3,1,Human Resources,3,Married,2267,No,7,2.0,2.0
50,No,Sales,1,Medical,4,Female,3,5,Manager,4,Divorced,19517,No,32,2.0,7.0
33,Yes,Research & Development,14,Medical,3,Male,3,1,Laboratory Technician,4,Married,2436,Yes,8,1.0,5.0
43,No,Sales,16,Marketing,4,Female,3,4,Manager,4,Married,16064,Yes,22,3.0,17.0
33,Yes,Research & Development,2,Life Sciences,1,Female,3,1,Laboratory Technician,1,Married,2707,No,13,4.0,9.0
52,No,Sales,2,Life Sciences,1,Male,2,5,Manager,3,Single,19068,Yes,33,4.0,33.0
32,No,Sales,4,Life Sciences,3,Female,3,1,Sales Representative,2,Married,3931,No,6,3.0,4.0
32,Yes,Research & Development,1,Life Sciences,4,Male,2,1,Laboratory Technician,3,Single,3730,Yes,4,1.0,3.0
39,No,Research & Development,1,Medical,3,Female,3,1,Laboratory Technician,3,Divorced,2232,No,7,3.0,3.0
32,No,Sales,26,Marketing,3,Male,3,2,Sales Executive,4,Married,4465,No,4,3.0,3.0
41,No,Research & Development,19,Life Sciences,3,Male,3,2,Research Scientist,1,Divorced,3072,No,17,2.0,1.0
40,No,Research & Development,24,Technical Degree,1,Male,3,2,Research Scientist,4,Divorced,3319,No,9,3.0,9.0
45,No,Research & Development,1,Other,3,Male,4,5,Manager,4,Married,19202,No,25,3.0,24.0
31,No,Research & Development,3,Medical,2,Male,3,3,Research Director,3,Divorced,13675,No,9,3.0,2.0
33,No,Research & Development,5,Life Sciences,3,Female,2,1,Research Scientist,4,Married,2911,No,2,2.0,2.0
34,No,Research & Development,2,Life Sciences,4,Male,2,2,Manufacturing Director,1,Married,5957,No,13,3.0,11.0
37,No,Research & Development,1,Medical,3,Female,2,1,Research Scientist,1,Married,3920,No,17,2.0,3.0
45,No,Research & Development,7,Life Sciences,1,Male,4,2,Manufacturing Director,3,Married,6434,No,9,3.0,3.0
37,Yes,Research & Development,10,Medical,1,Male,3,3,Manufacturing Director,3,Divorced,10048,No,17,3.0,1.0
39,No,Research & Development,2,Technical Degree,3,Female,3,3,Healthcare Representative,3,Single,10938,No,20,3.0,19.0
